,SES0100,date,time,ECB0100,SST0100,SPS0100,ETB0100,AHA0100,SHS0100,SRT0100,ARA0100,EOS0100,SIR0100
271,,2021-07-16,02:30:38.042589,,,,PPPP,,,,,,
272,0.0,2021-07-16,02:30:38.558949,,,,,,,,,,
273,,2021-07-16,02:30:38.768948,HALT,,,,,,,,,
274,,2021-07-16,02:30:38.839720,,219.0,,,,,,,,
275,,2021-07-16,02:30:38.977010,,,35.270092297537474,,,,,,,
276,0.0,2021-07-16,02:30:43.558365,,,,,,,,,,
277,,2021-07-16,02:30:43.669259,HALT,,,,,,,,,
278,,2021-07-16,02:30:43.766809,,219.0,,,,,,,,
279,,2021-07-16,02:30:43.868586,,,36.24364784000383,,,,,,,
280,,2021-07-16,02:30:43.994885,,,,,,,,,,"{'True': 45, 'False': 15}"
281,,2021-07-16,02:30:45.858214,,,,,,,,,Pass,
282,0.0,2021-07-16,02:36:26.912259,,,,,,,,,,
283,,2021-07-16,02:36:27.040174,RUN,,,,,,,,,
284,,2021-07-16,02:36:27.200002,,219.0,,,,,,,,
285,,2021-07-16,02:36:27.339012,,,37.194839826186644,,,,,,,
286,,2021-07-16,03:58:46.889279,HALT,,,,,,,,,
287,,2021-07-16,03:58:47.110442,,216.58098670969693,,,,,,,,
288,,2021-07-16,03:58:47.278594,,,69.96134982519607,,,,,,,
289,,2021-07-16,03:58:47.430691,,,,,,,,OFF,,
290,,2021-07-16,03:58:47.549801,,,,,,,,,Pass,
291,,2021-07-16,03:58:47.722774,,,,,,,23.797388416654343,,,
292,,2021-07-16,03:58:47.834909,,,,"{'maxValueVolt': 5.142921565404992, 'minValueVolt': 0.04239319459302268, 'maxValueCurr': 19.935378067378707, 'minValueCurr': 3.965182392761961}",,,,,,
293,0.0,2021-07-16,03:58:48.028194,,,,,,,,,,
294,,2021-07-16,03:58:48.199720,HALT,,,,,,,,,
295,,2021-07-16,03:58:48.364000,,216.7269823704847,,,,,,,,
296,,2021-07-16,03:58:48.506406,,,79.96731177871136,,,,,,,
297,,2021-07-16,03:58:53.569577,,,,,,,23.572752027316398,,,
298,,2021-07-16,03:58:55.127267,,,,,,,,ON,,
299,,2021-07-16,03:58:57.247488,,,,,,54.54015249591704,,,,
300,,2021-07-16,03:58:58.776332,,,,,ON,,,,,
301,,2021-07-16,03:59:08.574130,,,,,,,23.61724450384428,,,
302,,2021-07-16,03:59:10.215408,,,,,,,,ON,,
303,,2021-07-16,03:59:12.267944,,,,,,54.549794417207174,,,,
304,,2021-07-16,03:59:13.848929,,,,,ON,,,,,
305,,2021-07-16,03:59:23.577301,,,,,,,23.685454734425612,,,
306,,2021-07-16,03:59:25.310418,,,,,,,,OFF,,
307,,2021-07-16,03:59:27.263146,,,,,,54.50716124298365,,,,
308,,2021-07-16,03:59:28.942904,,,,,ON,,,,,
309,,2021-07-16,03:59:38.578418,,,,,,,23.694790075574645,,,
310,,2021-07-16,04:01:04.826760,,,,,,,,OFF,,
311,,2021-07-16,04:01:05.001134,,,,,,54.576174258041384,,,,
312,,2021-07-16,04:01:05.172129,,,,PFFP,,,,,,
313,,2021-07-16,04:01:05.329516,,,,PPPF,,,,,,
314,,2021-07-16,04:01:05.488794,,,,PFPP,,,,,,
315,0.0,2021-07-16,04:01:05.677222,,,,,,,,,,
316,,2021-07-16,04:01:05.835119,RUN,,,,,,,,,
317,,2021-07-16,04:01:06.017131,,217.39719581444191,,,,,,,,
318,,2021-07-16,04:01:06.171900,,,10.27428399076776,,,,,,,
319,0.0,2021-07-16,04:01:07.100365,,,,,,,,,,
320,,2021-07-16,04:01:07.261255,,,,"{'maxValueVolt': 4.905765410561571, 'minValueVolt': -0.04561885348262744, 'maxValueCurr': 20.0048640869565, 'minValueCurr': 3.9899648033221933}",,,,,,
321,,2021-07-16,04:01:07.434270,HALT,,,,,,,,,
322,,2021-07-16,04:01:07.590575,,217.3184268589927,,,,,,,,
323,,2021-07-16,04:01:07.772275,,,20.22807104211221,,,,,,,
324,,2021-07-16,04:01:07.952335,,,,,,,,,Pass,
325,0.0,2021-07-16,04:01:12.098452,,,,,,,,,,
326,,2021-07-16,04:01:12.281195,HALT,,,,,,,,,
327,,2021-07-16,04:01:12.432437,,,,,,,23.40819864783999,,,
328,,2021-07-16,04:01:12.596197,,217.36611817695086,,,,,,,,
329,,2021-07-16,04:01:12.749690,,,30.260026907135625,,,,,,,
330,,2021-07-16,04:01:13.972960,,,,,,,,ON,,
331,,2021-07-16,04:01:16.145997,,,,,,55.855341774928796,,,,
332,0.0,2021-07-16,04:01:17.111110,,,,,,,,,,
333,,2021-07-16,04:01:17.289709,HALT,,,,,,,,,
334,,2021-07-16,04:01:17.502075,,,,,ON,,,,,
335,,2021-07-16,04:01:17.659013,,217.18691360110424,,,,,,,,
336,,2021-07-16,04:01:17.800095,,,40.24890092203685,,,,,,,
337,,2021-07-16,04:01:20.465943,,,,FPPP,,,,,,
338,0.0,2021-07-16,04:01:22.113555,,,,,,,,,,
339,,2021-07-16,04:01:22.305085,HALT,,,,,,,,,
340,,2021-07-16,04:01:22.536169,,,,"{'maxValueVolt': 4.987128236348461, 'minValueVolt': 0.12887170931554384, 'maxValueCurr': 19.99587311837783, 'minValueCurr': 3.965749837388445}",,,,,,
341,,2021-07-16,04:01:22.711950,,217.34689609024795,,,,,,,,
342,,2021-07-16,04:01:22.882706,,,50.295615999394045,,,,,,,
343,,2021-07-16,04:01:23.025964,,,,,,,,,Pass,
344,0.0,2021-07-16,04:01:27.116173,,,,,,,,,,
345,,2021-07-16,04:01:27.251895,HALT,,,,,,,,,
346,,2021-07-16,04:01:27.373080,,,,,,,23.408703575619,,,
347,,2021-07-16,04:01:27.539014,,217.51107537272046,,,,,,,,
348,,2021-07-16,04:01:27.733328,,,60.300833238181816,,,,,,,
349,,2021-07-16,04:01:29.053772,,,,,,,,OFF,,
350,,2021-07-16,04:01:31.160009,,,,,,55.82397256323633,,,,
351,0.0,2021-07-16,04:01:32.123368,,,,,,,,,,
352,,2021-07-16,04:01:32.313011,HALT,,,,,,,,,
353,,2021-07-16,04:01:32.540068,,217.46349696950568,,,,,,,,
354,,2021-07-16,04:01:32.757444,,,,,OFF,,,,,
355,,2021-07-16,04:01:32.971743,,,70.27366352938647,,,,,,,
356,0.0,2021-07-16,04:01:37.131508,,,,,,,,,,
357,,2021-07-16,04:01:37.377566,HALT,,,,,,,,,
358,,2021-07-16,04:01:37.576733,,217.60543937029988,,,,,,,,
359,,2021-07-16,04:01:37.735307,,,,"{'maxValueVolt': 4.963760240211776, 'minValueVolt': 0.148459191644681, 'maxValueCurr': 20.05121329001194, 'minValueCurr': 4.010106477203057}",,,,,,
360,,2021-07-16,04:01:37.957890,,,80.32410916121556,,,,,,,
361,,2021-07-16,04:01:38.153134,,,,,,,,,Pass,
362,,2021-07-16,04:01:40.965115,,,,PPPP,,,,,,
363,0.0,2021-07-16,04:01:42.144750,,,,,,,,,,
364,,2021-07-16,04:01:42.314772,HALT,,,,,,,,,
365,,2021-07-16,04:01:42.548675,,,,,,,23.45305735147427,,,
366,,2021-07-16,04:01:42.720717,,217.751895239224,,,,,,,,
367,,2021-07-16,04:01:42.908703,,,90.27395668382398,,,,,,,
